latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
66.44489,147.938,341.42,1.21,1.09,6/17/2024,0:41,T,91,6.1NRT,298.65,46.49,D
66.42746,148.01085,323.53,1.21,1.09,6/17/2024,0:41,T,67,6.1NRT,296.1,20.93,D
66.43372,147.84747,324.55,1.22,1.1,6/17/2024,0:41,T,80,6.1NRT,295.67,24.13,D
66.071,147.96165,353.06,1.19,1.09,6/17/2024,0:41,T,97,6.1NRT,298.73,83.07,D
66.06834,147.98749,326.42,1.19,1.09,6/17/2024,0:41,T,84,6.1NRT,297.33,25.8,D
66.05891,147.98164,315.22,1.19,1.09,6/17/2024,0:41,T,74,6.1NRT,296.4,11.81,D
65.21111,152.30719,328.86,1.01,1,6/17/2024,0:41,T,86,6.1NRT,296.25,25.05,D
66.02097,145.43185,327.06,1.37,1.16,6/17/2024,0:41,T,50,6.1NRT,291.82,34.93,D
62.22054,138.02785,317.02,2.13,1.42,6/17/2024,0:43,T,54,6.1NRT,296.39,31.63,D
60.05566,134.13219,318.67,2.9,1.62,6/17/2024,0:43,T,33,6.1NRT,288.99,66.83,D
59.20687,131.42783,320.09,3.71,1.8,6/17/2024,0:43,T,80,6.1NRT,291.07,109.55,D
59.21521,131.41931,313.22,3.71,1.8,6/17/2024,0:43,T,55,6.1NRT,289.48,70.72,D
59.19908,131.4193,315.37,3.71,1.8,6/17/2024,0:43,T,49,6.1NRT,291.39,78.23,D
59.15104,131.3555,307.28,3.73,1.81,6/17/2024,0:43,T,59,6.1NRT,289.96,34.64,D
62.88303,136.59161,305.62,2.45,1.51,6/17/2024,0:43,T,42,6.1NRT,292.68,15.56,D
62.80552,135.82458,305.64,2.61,1.55,6/17/2024,0:43,T,17,6.1NRT,294.67,18.04,D
62.79166,135.82263,305.5,2.61,1.55,6/17/2024,0:43,T,29,6.1NRT,293.84,17.1,D
62.76233,136.32014,317.53,2.5,1.52,6/17/2024,0:43,T,74,6.1NRT,294.89,44.53,D
62.76072,136.36908,319.8,2.49,1.52,6/17/2024,0:43,T,77,6.1NRT,293.81,54.14,D
62.71196,135.95891,306.64,2.57,1.54,6/17/2024,0:43,T,46,6.1NRT,292.25,19.44,D
62.71038,136.00893,305.26,2.56,1.54,6/17/2024,0:43,T,40,6.1NRT,292.13,15.98,D
62.22226,137.99678,322.09,2.14,1.42,6/17/2024,0:43,T,26,6.1NRT,296.25,42.49,D
62.23314,138.0312,321.91,2.13,1.42,6/17/2024,0:43,T,43,6.1NRT,298.11,42.87,D
62.22238,137.99014,320.26,2.14,1.42,6/17/2024,0:43,T,72,6.1NRT,296.22,42.02,D
60.05714,134.1405,314.96,2.9,1.62,6/17/2024,0:43,T,34,6.1NRT,289.2,53.18,D
